,yob1,W_HO_PTA_m_SB,UW_HO_PTA_m_SB,T_W_HO_PTA_m_SB,T_UW_HO_PTA_m_SB,HO_ptam_RegCow_1,W_HO_SD_m_SB,W_BY1_HO_SD_m_SB,UW_HO_SD_m_SB,UW_BY1_HO_SD_m_SB,T_W_HO_SD_m_SB,T_UW_HO_SD_m_SB,W_BY1_HO_PTA_m_SB,HO_ptam_RegCow_4,W_HO_REL_m_SB,UW_HO_REL_m_SB,T_W_HO_REL_m_SB,T_UW_HO_REL_m_SB,W_BY1_HO_REL_m_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_m_SC,UW_HO_PTA_m_SC,T_W_HO_PTA_m_SC,T_UW_HO_PTA_m_SC,HO_ptam_RegCow_2,W_HO_SD_m_SC,W_BY1_HO_SD_m_SC,UW_HO_SD_m_SC,UW_BY1_HO_SD_m_SC,T_W_HO_SD_m_SC,T_UW_HO_SD_m_SC,W_BY1_HO_PTA_m_SC,HO_ptam_RegCow_5,W_HO_REL_m_SC,UW_HO_REL_m_SC,T_W_HO_REL_m_SC,T_UW_HO_REL_m_SC,W_BY1_HO_REL_m_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_m_DB,UW_HO_PTA_m_DB,T_W_HO_PTA_m_DB,T_UW_HO_PTA_m_DB,HO_ptam_RegCow_3,W_HO_SD_m_DB,W_BY1_HO_SD_m_DB,UW_HO_SD_m_DB,UW_BY1_HO_SD_m_DB,T_W_HO_SD_m_DB,T_UW_HO_SD_m_DB,W_BY1_HO_PTA_m_DB,HO_ptam_RegCow_6,W_HO_REL_m_DB,UW_HO_REL_m_DB,T_W_HO_REL_m_DB,T_UW_HO_REL_m_DB,W_BY1_HO_REL_m_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_m_DC,UW_HO_PTA_m_DC,T_W_HO_PTA_m_DC,T_UW_HO_PTA_m_DC,HO_ptam_AllCow_1,W_HO_SD_m_DC,W_BY1_HO_SD_m_DC,UW_HO_SD_m_DC,UW_BY1_HO_SD_m_DC,T_W_HO_SD_m_DC,T_UW_HO_SD_m_DC,W_BY1_HO_PTA_m_DC,HO_ptam_AllCow_2,W_HO_REL_m_DC,UW_HO_REL_m_DC,T_W_HO_REL_m_DC,T_UW_HO_REL_m_DC,W_BY1_HO_REL_m_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_m_SB_1,W_BY1_HO_SD_m_SC_1,W_BY1_HO_SD_m_DB_1,W_BY1_HO_SD_m_DC_1,W_HO_SD_m_SB_1,W_HO_SD_m_SC_1,W_HO_SD_m_DB_1,W_HO_SD_m_DC_1,UW_BY1_HO_SD_m_SB_1,UW_BY1_HO_SD_m_SC_1,UW_BY1_HO_SD_m_DB_1,UW_BY1_HO_SD_m_DC_1,UW_HO_SD_m_SB_1,UW_HO_SD_m_SC_1,UW_HO_SD_m_DB_1,UW_HO_SD_m_DC_1,T_W_HO_SD_m_SB_1,T_W_HO_SD_m_SC_1,T_W_HO_SD_m_DB_1,T_W_HO_SD_m_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_m_SB,HO_ptam_RegCow_7,HO_numm_RegCow,HO_ptam_AllCow_3,HO_numm_AllCow
count,41.0,39.0,38.0,30.0,29.0,41.0,39.0,37.0,38.0,32.0,30.0,29.0,37.0,41.0,39.0,38.0,30.0,29.0,37.0,39.0,38.0,30.0,29.0,37.0,41.0,39.0,39.0,33.0,33.0,41.0,39.0,41.0,39.0,39.0,33.0,33.0,41.0,41.0,39.0,39.0,33.0,33.0,41.0,39.0,39.0,33.0,33.0,41.0,41.0,39.0,39.0,32.0,32.0,41.0,39.0,39.0,39.0,39.0,32.0,32.0,39.0,41.0,39.0,39.0,32.0,32.0,39.0,39.0,39.0,32.0,32.0,39.0,41.0,39.0,39.0,33.0,33.0,41.0,39.0,41.0,39.0,41.0,33.0,33.0,41.0,41.0,39.0,39.0,33.0,33.0,41.0,39.0,39.0,33.0,33.0,41.0,41.0,37.0,41.0,39.0,41.0,39.0,39.0,39.0,39.0,32.0,39.0,39.0,41.0,38.0,39.0,39.0,39.0,30.0,33.0,32.0,33.0,41.0,37.0,41.0,39.0,41.0,37.0,41.0,39.0,41.0,41.0,32.0,41.0,41.0,41.0,41.0
mean,1995.0,-235.62446440979488,-745.1553284889474,-544.0794837227332,-1048.437686462069,-999.888888190244,832.381612302564,765.532690985946,355.52202358999995,374.860771678125,798.3218566373333,324.91160905517245,-507.53260835459463,-999.888888190244,0.9581390524871796,0.8912467197631581,0.9684820406,0.8953394809655172,0.9540234382702704,6596.820512820513,234.23684210526315,5471.333333333333,218.31034482758622,6949.7027027027025,1995.0,-369.3516890248718,-861.6138248046153,-595.8009936430303,-1091.449772048788,-999.888888190244,698.6543877230769,586.7563734140732,206.3922518620513,184.10583935292308,654.8793126224243,159.23053417939394,-779.2107799619512,-999.888888190244,0.9466902431794872,0.805628521,0.9521214816363636,0.8056656578484848,0.9318968040731708,699277.6666666666,3226.948717948718,610408.9090909091,3279.5454545454545,665166.6585365854,1995.0,-798.3713986684616,-911.975881712,-1071.9355765300002,-1191.3370861084375,-999.888888190244,269.6346780266667,248.09522777153848,156.03019497666668,137.50676614053847,208.8387750346875,89.4372654559375,-955.3560916349743,-999.888888190244,54.480677077692306,45.562112969487174,48.208260178125,39.678590226875,54.50161857179488,6917.410256410257,3260.076923076923,5528.875,2984.65625,6917.384615384615,1995.0,-1098.789208168359,-1122.9295926032307,-1305.3963244848485,-1329.9863949090907,-1081.7843350582928,52.1305422723077,48.993731690975615,27.990157788974358,23.027752316707318,54.04478202969697,29.454711623333335,-1286.2128026041462,-1081.7843350582928,46.23920364538461,43.71177494102564,46.71828418515152,44.300548719090905,45.74264088097561,594197.1025641026,369296.46153846156,547521.1515151515,340904.1515151515,565213.0243902439,1995.0,765.532690985946,586.7563734140732,248.09522777153848,48.993731690975615,832.381612302564,698.6543877230769,269.6346780266667,52.1305422723077,374.860771678125,184.10583935292308,137.50676614053847,23.027752316707318,355.52202358999995,206.3922518620513,156.03019497666668,27.990157788974358,798.3218566373333,654.8793126224243,208.8387750346875,54.04478202969697,1995.0,6.364945891459459,5.868832899609757,4.216307384102564,3.507531418121951,6949.7027027027025,665166.6585365854,6917.384615384615,565213.0243902439,1995.0,-741.9337962038751,-999.888888190244,67983.65853658537,-1081.7843350582928,825331.0243902439
std,11.979148550710939,737.9340406542011,771.4268595259598,565.4844403664788,602.0076466920839,760.896432596172,133.49222452359604,253.44374302970357,123.14862219119001,104.11850487377058,200.9125337268249,107.02731104671491,871.639626414906,760.896432596172,0.0532609952167419,0.02928237026084755,0.018483322315161144,0.01203520139328323,0.050238853197673204,3168.9726200989135,64.03944485913574,2566.678241502487,62.63562624319204,4669.592373744943,11.979148550710939,718.2653482451935,866.6180962847384,573.4246072199586,727.5362166579109,760.896432596172,110.86457948130844,282.09777463797656,159.4484955935127,176.38803689737486,174.51052636289248,118.86074986496416,899.5356529493224,760.896432596172,0.05054369309303116,0.03739964566015687,0.024371264333132744,0.03780071042078251,0.059840579202568404,202675.85325034254,674.5632095042942,234798.36227686456,735.9305797300573,363050.8575395195,11.979148550710939,859.9396085303678,876.6884690020548,686.4104191232273,695.6516720282713,760.896432596172,159.7781931872602,155.95917422040145,180.54077782803134,170.55891716890815,101.89436806185857,115.52569984165514,865.3667017469533,760.896432596172,13.537898670986165,14.718702756736674,7.590165410914376,8.950455308993455,13.330534481533006,2834.6146189185533,797.6093023468842,1698.4225651107615,629.5485125366406,4455.770437341157,11.979148550710939,829.9624068308661,838.6835693836048,727.7846072790373,738.7615776616263,877.0664205930553,15.76738304452465,17.34940918470307,5.450225438811051,18.262838876786738,14.850946041201695,4.454667717218946,852.6224193875115,877.0664205930553,3.9801479552545005,4.218610099074473,2.551707005763782,3.2147408054232414,3.7977871767592677,127305.18636948046,80899.70176148467,130570.75503178373,75785.73622066078,226764.21600943652,11.979148550710939,253.44374302970357,282.09777463797656,155.95917422040145,17.34940918470307,133.49222452359604,110.86457948130844,159.7781931872602,15.76738304452465,104.11850487377058,176.38803689737486,170.55891716890815,18.262838876786738,123.14862219119001,159.4484955935127,180.54077782803134,5.450225438811051,200.9125337268249,174.51052636289248,101.89436806185857,14.850946041201695,11.979148550710939,1.746754526469022,1.8990595654299662,0.8160127541033984,1.5046082897722537,4669.592373744943,363050.8575395195,4455.770437341157,226764.21600943652,11.979148550710939,691.3110924739071,760.896432596172,66931.0927045905,877.0664205930553,230768.42982603662
min,1975.0,-1461.561633,-2063.231903,-1461.561633,-2063.231903,-2228.296882,568.6544291,-119.8764695,81.97794602,198.6551697,-74.87572248,81.97794602,-2287.452782,-2228.296882,0.768109089,0.774267769,0.890335856,0.872684938,0.77838289,1502.0,122.0,119.0,108.0,117.0,1975.0,-1695.83029,-2321.878749,-1695.736072,-2321.878749,-2228.296882,481.7435619,-43.91632608,-93.5818671,-198.084892,51.77285094,-93.5818671,-2261.70527,-2228.296882,0.768567859,0.736509197,0.836805921,0.736509197,0.756016812,4525.0,255.0,454.0,118.0,137.0,1975.0,-2085.777896,-2198.4379,-2085.777896,-2198.4379,-2228.296882,28.89035124,-30.25564534,-83.19117966,-119.9092915,28.89035124,-83.19117966,-2258.252813,-2228.296882,36.48847771,30.59880096,36.47897039,30.36672867,38.87159121,2440.0,979.0,1938.0,1403.0,168.0,1975.0,-2528.89925,-2559.673177,-2528.896033,-2559.675021,-2587.680496,30.12575347,11.65657532,14.13498311,-48.8482004,28.19126839,22.94801707,-2566.511903,-2587.680496,30.05556939,26.97976106,41.57511926,38.27873614,35.85633123,36153.0,33648.0,8903.0,8785.0,754.0,1975.0,-119.8764695,-43.91632608,-30.25564534,11.65657532,568.6544291,481.7435619,28.89035124,30.12575347,198.6551697,-198.084892,-119.9092915,-48.8482004,81.97794602,-93.5818671,-83.19117966,14.13498311,-74.87572248,51.77285094,28.89035124,28.19126839,1975.0,2.381610524,-0.429942495,2.266321176,-3.937505106,117.0,137.0,168.0,754.0,1975.0,-1824.244834,-2228.296882,1629.0,-2587.680496,94850.0
25%,1985.0,-897.33998205,-1349.797303,-1003.0767317499999,-1494.286223,-1687.778593,731.50065075,775.6503787,296.16213604999996,311.86833465,739.051751375,269.0661929,-1199.075665,-1687.778593,0.9651708345000001,0.886250483,0.96463007825,0.886065299,0.964753501,4373.5,178.25,3418.75,173.0,4959.0,1985.0,-979.9514568,-1594.0476495,-1021.985248,-1670.466523,-1687.778593,635.1869454,571.9648373,100.89203071,97.71289579,572.2738423,95.18661625,-1496.302698,-1687.778593,0.9546447425,0.7752742825000001,0.949477359,0.775602667,0.933764899,612463.5,3006.5,524038.0,3058.0,480920.0,1985.0,-1613.025363,-1731.028798,-1689.48672625,-1820.20191025,-1687.778593,139.79638805000002,133.92699585,6.935681300000001,-2.91469209,137.155763675,3.0017163005,-1732.773533,-1687.778593,42.90031949,33.697591169999995,41.98114866,32.1581915575,42.494326615,5332.0,2925.0,4595.25,2576.75,4410.0,1985.0,-1799.5292505,-1835.973624,-1902.54021,-1942.341156,-1831.831748,35.74048182,35.89264888,24.64438765,23.38349828,43.60486218,27.15711443,-2077.408499,-1831.831748,45.061676590000005,42.021614185000004,45.15674228,42.17030836,43.49761373,553567.5,345781.5,539499.0,340534.0,549853.0,1985.0,775.6503787,571.9648373,133.92699585,35.89264888,731.50065075,635.1869454,139.79638805000002,35.74048182,311.86833465,97.71289579,-2.91469209,23.38349828,296.16213604999996,100.89203071,6.935681300000001,24.64438765,739.051751375,572.2738423,137.155763675,43.60486218,1985.0,5.976723281,5.40314402,3.860243638,3.608689451,4959.0,480920.0,4410.0,549853.0,1985.0,-1339.6272522499999,-1687.778593,10677.0,-1831.831748,741224.0
50%,1995.0,-56.22726349,-682.65739875,-555.0846215,-1019.672145,-968.0000889,834.4368112,844.8192217,365.72888545,378.48080860000005,801.80503945,364.7412766,-429.8514047,-968.0000889,0.973726426,0.897549133,0.97209308,0.896763222,0.970459791,6610.0,225.5,5656.5,224.0,7028.0,1995.0,-349.2594659,-859.2531998,-492.6609281,-1081.844754,-968.0000889,726.0441557,715.5824628,153.8874528,154.5550131,719.802337,138.9864221,-666.0237287,-968.0000889,0.960107241,0.813668604,0.959386443,0.81370329,0.96142063,722404.0,3168.0,681932.0,3231.0,750960.0,1995.0,-786.8446304,-933.2462017,-1135.9829855,-1267.9744695,-968.0000889,226.2960222,263.6331334,79.89445079,143.0410313,166.80912135,41.701533655,-1029.574438,-968.0000889,52.01597115,40.55334324,45.062595965,36.70394748,48.44495143,6272.0,3365.0,5778.0,3080.0,6885.0,1995.0,-1051.450108,-1074.663616,-1299.376129,-1327.002959,-1024.440191,51.03352633,47.83969674,27.70203607,28.2879827,56.23210857,28.41070172,-1297.971423,-1024.440191,46.3120223,43.83266096,46.31112674,43.71105853,45.56199131,624633.0,370723.0,576681.0,361381.0,611318.0,1995.0,844.8192217,715.5824628,263.6331334,47.83969674,834.4368112,726.0441557,226.2960222,51.03352633,378.48080860000005,154.5550131,143.0410313,28.2879827,365.72888545,153.8874528,79.89445079,27.70203607,801.80503945,719.802337,166.80912135,56.23210857,1995.0,6.887574148,6.771880329,4.237465883,3.934279614,7028.0,750960.0,6885.0,611318.0,1995.0,-648.7716441499999,-968.0000889,23216.0,-1024.440191,807550.0
75%,2005.0,357.73110905,-195.55599089999998,-53.4912758575,-468.9914186,-389.3916,926.45706475,866.9052722,416.3121089,417.310367325,914.5352098999999,413.2383407,100.2719246,-389.3916,0.979312644,0.90416559675,0.9806419242500001,0.902310215,0.979574892,7833.0,276.75,7391.75,263.0,7726.0,2005.0,215.78394225,-163.65486015,-60.69729428,-423.5385072,-389.3916,783.29262255,768.6720662,299.8201722,300.7027671,770.5238279,273.9540243,-21.31178164,-389.3916,0.968299775,0.8363753215,0.965258207,0.834028214,0.967082929,837511.0,3663.0,762408.0,3884.0,835677.0,2005.0,-95.04639312,-215.4089236,-460.371784175,-582.746543125,-389.3916,372.87660500000004,318.91891715,257.6611653,209.71654755,299.152058625,179.372088875,-292.97863655,-389.3916,62.83680332,55.661036665,54.5899858025,45.8532416375,65.02322145,8326.5,3675.0,6705.25,3404.5,7572.0,2005.0,-383.52592055,-393.1003151,-671.0941948,-686.8790018,-326.5457355,64.714159815,64.19591872,30.88302714,31.89870095,64.72742875,32.4869714,-530.2989211,-326.5457355,49.267381920000005,47.020450255,49.45558134,47.2480333,48.88080448,646625.0,403438.5,625693.0,379706.0,676221.0,2005.0,866.9052722,768.6720662,318.91891715,64.19591872,926.45706475,783.29262255,372.87660500000004,64.714159815,417.310367325,300.7027671,209.71654755,31.89870095,416.3121089,299.8201722,257.6611653,30.88302714,914.5352098999999,770.5238279,299.152058625,64.72742875,2005.0,7.576522682,7.068774903,4.723188304,4.087006665,7726.0,835677.0,7572.0,676221.0,2005.0,-307.64445247500004,-389.3916,147453.0,-326.5457355,875017.0
max,2015.0,1206.08822,723.5307816,405.4689504,-164.8102468,406.3306873,1135.174065,1071.167855,768.0403608,672.3272809,1135.174065,457.3163706,1141.539321,406.3306873,0.987303137,0.928281501,0.987303137,0.91883694,0.986029109,18594.0,365.0,9981.0,347.0,19919.0,2015.0,1010.099185,775.7959289,122.7987194,-26.71214435,406.3306873,882.7990454,799.8971274,602.2935407,603.8003453,882.8525788,321.41682,650.356083,406.3306873,0.973981996,0.861392549,0.969744659,0.866263921,0.974611767,1067469.0,4143.0,910364.0,4142.0,1376951.0,2015.0,767.482008,703.9392191,35.20934705,18.39780998,406.3306873,611.9174044,582.0761559,530.4368309,495.0643008,378.0381694,341.7452498,645.7918883,406.3306873,78.37391159,76.01208865,62.86314408,58.02638889,78.63712677,14855.0,5564.0,8391.0,4170.0,19894.0,2015.0,229.2161473,189.6099955,-155.7155145,-156.6025979,297.6934711,79.14544396,75.09886996,39.53929222,38.90366237,78.06194972,39.22266369,93.32039118,297.6934711,51.44170126,49.20318807,50.67628889,50.52521343,50.9971492,770879.0,507107.0,658690.0,409758.0,917610.0,2015.0,1071.167855,799.8971274,582.0761559,75.09886996,1135.174065,882.7990454,611.9174044,79.14544396,672.3272809,603.8003453,495.0643008,38.90366237,768.0403608,602.2935407,530.4368309,39.53929222,1135.174065,882.8525788,378.0381694,78.06194972,2015.0,8.401113327,7.366245841,5.465756734,4.260143557,19919.0,1376951.0,19894.0,917610.0,2015.0,651.0276667,406.3306873,177875.0,297.6934711,1422601.0
